fen,eval
1n3bnr/4pkp1/3pb3/6pp/4PP1P/1pNP4/8/R3KBN1 w - - 1 18,-123
4k3/5p2/n3p2p/2Q1N2P/pp6/5r2/P4N2/3bK1R1 w - - 4 36,#+1
5n1b/8/8/2P4P/8/1K1P4/5k2/8 w - - 1 48,-35
1n2kb1r/2p1pp1p/6p1/3Q4/8/3P2q1/PP1QPP1n/RN2KBNR w KQk - 2 11,+3255
rnbq1bn1/p1ppp1p1/5k2/1p5r/8/P2P4/1PP2PPP/RNB1KBNR w KQ - 0 7,-817
5b2/3kp3/8/2B4p/2P4P/8/N2PN2P/1R4KR b - - 0 26,+2225
4k3/5pK1/1p6/p5p1/q4p2/8/1r6/n7 w - - 4 45,#-6
rnbqkbnr/2p1p1p1/pp1p1p2/7p/1P3P1P/3P1N2/P1P1P1P1/RNBQKB1R b KQkq - 0 6,-72
rn1q1kr1/pbpp1p1p/1p4p1/8/PP4n1/2Np3P/1Q2PP2/R1B1KBNR w KQ - 0 12,+377
8/8/8/7p/7P/5K2/1Bk5/8 b - - 1 47,+1295
8/r2p3p/3k1P2/2nq3P/1p6/8/4PK2/8 b - - 1 35,#-4
1n6/3p3r/2pk4/3q4/8/1p1bB3/3P3N/4b1K1 b - - 2 39,#-3
rnb4r/p1ppnqpp/Pp2ppk1/8/6PP/b6N/1RPPPP2/1N1QKB1R w - - 0 13,+76
5k2/r5p1/8/8/4K3/8/8/3b4 w - - 1 50,-1138
1k6/8/p4n2/P7/6B1/8/1K6/5n2 w - - 1 47,+4
5k2/8/5B2/8/P4P2/3p1K1P/8/6NR w - - 1 39,+6022
8/8/5k2/p1P5/P3p3/4P3/4N3/6KR w - - 2 50,+1483
1n2k3/2Qp4/6n1/8/8/1b4K1/8/8 w - - 1 37,+535
4kbnr/1b5p/4p1p1/1pp2p2/8/1PP1PPPP/2Nq4/2BQ1KNR w k - 0 14,+997
1n1q1bnr/r1pkp2p/p4pp1/3p2N1/5P2/2pPP1P1/2P5/R1BQKB1R w Q - 0 16,+449
5b1r/2n2pB1/2pk4/1p6/7N/7b/5P2/3K1R2 w - - 1 26,-814
3k4/r2n1p1r/pp3p1p/8/2P5/4R2P/P3B3/2KQ2R1 w - - 4 23,#+9
rnbqk2r/3p1pbp/BQ1n4/2p1p3/1P2PpP1/2N5/P1PP3P/R1BK2NR w kq - 0 12,+93
8/4k3/4p1Pb/8/2p5/3K4/8/8 w - - 0 48,-1162
3k2r1/8/6p1/5p2/6NP/8/4K1b1/8 w - - 0 32,-848
r1b2k2/3Q1p1r/7p/8/6p1/2NK1P2/PR5P/1r6 w - - 0 24,+653
R5n1/6k1/2B5/4p3/8/8/3K4/8 w - - 0 45,+517
rn2k3/p1p3br/8/4Np1p/3P4/2P1P3/PP6/RNBK3B b - - 0 20,+541
r1bqk1n1/1pp1p3/p1Pp3b/5n2/1P2PPp1/1N4Pr/P7/R3KB2 b Qq - 0 21,-2139
1B3b2/1p2p2p/4kp2/P2p1n2/6R1/5N2/3PP1P1/5B1K b - - 0 29,+1092
8/3k4/p7/1p3P2/8/2K2P1r/8/8 w - - 0 36,-1129
rnbqkbnr/ppp2ppp/8/3pp3/8/5N2/PPPPPPPP/RNBQKBR1 w Qkq - 0 3,+11
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+51
8/2k5/8/2r5/8/6r1/8/4K2n b - - 11 50,#-3
6n1/1rpk4/8/p1Pp4/8/P7/8/5K2 w - - 1 44,-1191
5b2/1pk3pR/p3p3/2p5/2P5/P7/3K2P1/B5Q1 b - - 4 36,+1350
2k5/8/6Qp/3q1p2/1p3B2/7P/N3PP2/5KNR b - - 0 29,+1677
rnbqkb1r/pppppppp/5n2/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 2,-52
1n5b/8/8/p6p/P4kP1/1p2b3/6B1/5K1N b - - 1 45,-1322
2b1k1nr/rppp3p/3b1p2/P3P3/7P/nK1PP3/P3B2q/R4Q1R b - - 0 22,-2601
rn3bnr/3kpppQ/8/pppp4/8/P1P5/1P2PP1P/RNB1K2R w KQ - 0 11,+1396
r3k3/4P1Q1/3p4/p7/2P5/1P1r4/P7/RN2BK2 b q - 1 28,+1329
4rb2/4q3/bpn3k1/4p1p1/P3RP2/8/2N5/1K5R w - - 0 36,-1307
rnbqkbn1/2pppppr/8/pB5p/4P1QP/8/PPPP1PP1/RNB1K1NR b KQq - 3 5,-1122
4k3/8/5p2/K1p5/8/2r5/8/8 w - - 16 48,-1747
rnbqkbnr/pppppppp/8/8/8/P7/1PPPPPPP/RNBQKBNR b KQkq - 0 1,-15
8/4Q3/8/7k/P7/PB5P/1BPP1N2/3K4 b - - 6 37,#+2
rnbqk1nr/pp1p2p1/4p2p/2p2p2/P4b2/3P4/1PP1PKPP/RNBQ1BNR b kq - 0 7,-537
rnbqkb1r/1ppppp1p/6pn/p7/8/3P4/PPPNPPPP/R2QKBNR w KQkq - 0 4,-909
q3kb1r/p1pbpp2/3R3p/4n1p1/P7/8/3PPP1P/1NB1QKNR w k - 0 17,+101
8/p4k2/P2p4/4p3/8/K7/8/8 w - - 10 50,-893
rn2kbn1/pb2p2r/1pp5/8/3PNp2/1PP3PP/2Q1KP2/R1B2B1R b q - 0 14,+1157
rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b KQkq - 1 1,-84
1nbqkbnr/1ppppppp/r7/8/1p1P2P1/P7/2P1PP1P/RNBQKBNR b KQk - 0 4,-204
1nb2b1r/1p2pk2/B5p1/5N1p/1Pp3n1/7P/2P1QPP1/RNK2R2 w - - 0 22,+1670
2b1kb1r/R7/3pp3/p1p2p1p/2P5/4PP2/N3n1BP/2B1K1NR w Kk - 0 19,+1250
6n1/5k2/1p1pq1r1/5p2/7P/8/2K5/8 w - - 5 41,-6778
7B/8/k5P1/6N1/8/2R1P3/8/5K2 b - - 0 45,#+8
r1bqkbr1/pppppp1p/2n2n2/6p1/2P4P/4PP1N/PP1P2P1/RNBQKB1R b KQq - 1 5,-88
rnb1k1n1/Np1pp1b1/5p2/q5p1/PQP1P3/2P2PPB/8/R3K2R w KQ - 1 23,+966
4kR2/1p3p1p/5n2/8/r1P4P/4P3/5P2/1bB1K3 b - - 0 27,-788
r6r/pB1p3p/2np1pp1/2p2n2/4k3/2K5/PP3P2/R1BQ4 w - - 5 20,#+4
r1bqkb1r/pppp1ppp/n3pn2/7P/P7/5P2/1PPPP1P1/RNBQKBNR b KQkq - 0 4,-124
2b3nr/r2k3p/2p3p1/p2pPp2/8/P4K2/1RPPN2P/2B1QB1R w - - 0 20,+1798
2bk4/3n1p1p/r3p3/pB1P4/1P1B3p/P4P2/4K3/RN4NR w - - 0 25,+1456
1rb1kb1r/1pp2pp1/P3p2p/2n5/6P1/8/P3N1KP/4R3 w k - 1 24,-1968
rnbqkbnr/p1ppp1pp/1p6/5p2/P6P/8/1PPPPPP1/RNBQKBNR b KQkq - 0 3,-52
r2n4/p1p4p/3p4/1k1P4/6p1/6P1/7K/2n5 b - - 6 39,-2469
1rb2bBr/p1pkp2p/n4n2/1p6/1P6/2K4p/P2BN3/RN4R1 w - - 0 23,-665
1nbqkbnr/1pppp1pp/r7/p4p2/7P/1PN5/P1PPPPP1/R1BQKBNR w KQk - 2 4,+234
1q3r2/6kp/3p3b/6p1/3p2PP/3P4/3KB2R/4N3 w - - 1 33,-1293
rn3bkr/1pp1p1pp/p2p4/3P4/5p2/1PN4P/P1PK1Pq1/R1B2QNR w - - 0 15,+1470
5k1r/8/2p2p2/p6p/2K2P1P/8/4b3/8 w - - 1 41,-1478
1rb1kbnr/2ppqp2/p3p2p/nP4p1/5P2/PP6/3PPNPP/RNBQKB1R w KQk - 2 10,+239
rnb2qnr/p1p2kpp/1p2p3/5p2/2P5/8/PP1PPPPP/RNBQKB1R w KQ - 0 6,+218
1rbqk1nr/pppp2pp/n4p2/4p3/8/4P2P/PBPKBPP1/RN1Q2NR w k - 0 7,+361
r1bqkb2/1ppppp1p/7n/pN6/2P4P/3Q1P2/4P1r1/2R1KB1R w Kq - 2 15,-283
8/7p/1k6/6p1/1P6/6P1/6R1/3K4 b - - 3 47,+1021
1r6/3k3p/1p6/8/4p3/2n4N/8/5BK1 b - - 1 34,-939
8/b7/8/1p3p1p/8/8/3K2k1/8 b - - 7 48,-1810
r1b1r3/p6R/4k2p/3pbp2/P2n4/N5PP/1PPBP3/3QKB1R b K - 2 17,#-1
4qb1r/p1p1pnp1/1p3p2/1b1P1k1p/1P5P/4PNP1/PK1B4/1R5R b - - 0 20,-1073
r1bqkb1r/1pp1pp1p/p5pn/3p4/1P4P1/7P/PP1PPP1N/RNBQKB1R w KQkq - 0 7,+653
r1bqkbr1/1p1ppp2/2n4p/p3P3/2P5/6PN/PPP1QP1P/RN2KB1R w KQq - 1 10,+331
2b1kbr1/r2pp1p1/5p2/7K/3BP3/8/P1P4P/Qq4NR b - - 3 22,-1787
3q1b2/3pp3/b6p/4k3/4P3/3p3N/1P1P1r2/1RBK4 b - - 0 28,#-1
2b3r1/4k1p1/4p2Q/1N6/2P5/1P1P2PP/r7/4K3 b - - 0 30,-959
r5k1/7p/p7/8/P7/4bPNP/R7/4K2R w K - 0 36,+800
4rb2/4n3/2p1k3/p7/8/2N3B1/3R2pP/5K2 w - - 0 32,-44
rnbqk1nr/p2pppbp/1pp3p1/8/7P/1P2P3/P1PPKPP1/RNBQ1BNR w kq - 1 5,-91
1B2kr2/2R5/8/1p6/8/8/P1bNPP1n/R3KB2 b - - 0 24,+1064
1k6/1rp5/3N4/1p4B1/3P4/8/P3K3/8 b - - 2 42,-471
4k3/5RNp/8/8/1P2r3/1P6/7P/3K4 b - - 8 46,-503
rn6/p2k1P1p/4p3/1Pp4n/2b5/P1N3P1/5PK1/6N1 b - - 2 30,-1060
1nb1kb2/2p1p3/r4p2/3P4/8/3BPP2/1P1PNK2/2B5 b - - 4 25,-612
1r2k3/R2b1p1p/8/2p5/2p1p2P/2b5/3PBK2/1N6 b - - 0 29,-791
rn1qkbn1/2p1p1p1/1p1p1p2/8/p1NP1Bb1/5N2/PPP1PPBr/R2QK2R w KQq - 0 9,+1014
n4k2/8/8/4P3/2P4Q/P2P4/1R6/6K1 w - - 3 45,#+3
rnbqkbnr/ppppp1pp/5p2/8/1P6/6P1/P1PPPP1P/RNBQKBNR b KQkq - 0 2,-19
2b3n1/4k3/8/7Q/rp1P1p2/1K4P1/8/8 w - - 0 44,+577
5k2/1R6/1p2n3/4p1P1/n7/3b4/8/3K2N1 b - - 5 40,-448
rnbqkbnr/pppppppp/8/8/6P1/8/PPPPPP1P/RNBQKBNR b KQkq - 0 1,-150
2k5/3N3p/7p/8/7K/8/4r3/8 w - - 3 50,-562
1n4r1/p3BkP1/8/8/n1P3p1/3p1N2/Pr4PP/R2K3R b - - 4 27,-1041
1n1k1B2/3p4/3P4/8/5pp1/1p6/7K/8 b - - 0 40,-1348
1nR5/1p6/2p5/5pk1/2BP4/4Pr2/8/1RK5 w - - 0 31,+1130
1n2qk1r/3p1p1p/r7/5PR1/P3p3/4P3/RP1B4/3QK1N1 b - - 0 21,+687
1r1qk1nr/6pp/1b3p2/2p1p3/1n2P3/2P2Q2/PP1P1PKP/R1B1R3 b k - 0 15,-1103
6r1/8/7k/p2pb2p/P4p1P/5P2/8/2K5 b - - 1 46,-2036
8/8/4kn2/7p/1r6/1P6/5b2/3K4 w - - 2 39,-1851
5b2/1k6/4N3/8/8/4P3/3N4/4K2r w - - 0 35,-1
4k3/1p6/2rp4/7p/1p3P2/2p5/8/2K5 w - - 5 50,-1944
2r2k2/2p5/p1P2Bp1/8/7r/1P1K3p/P6P/4R3 w - - 1 34,+811
6nr/8/5qk1/3p3p/6P1/N1P2P2/PP2N1KP/R1B4R w - - 0 24,+716
3k3r/6pp/8/8/7n/1p1P4/4P3/2BK1BR1 w - - 1 31,+619
4k3/8/2p5/1p6/1B4P1/PP2PK2/6P1/1N3B1r w - - 2 35,+1080
8/3k4/8/8/P4K2/1P6/4N3/8 b - - 1 47,+1336
7R/3pkpp1/8/7p/8/4b3/4K3/7r w - - 6 40,-799
5k2/8/bp4p1/4p1pr/8/N1PPK2B/8/6N1 b - - 4 32,-50
1n1k1br1/rp4p1/2p4n/4p3/8/4P3/PPPPNPP1/1RBK1B2 b - - 1 15,-573
5rr1/2pk1p2/4p3/6b1/2b4P/4n3/1B5K/7R b - - 1 29,#-3
rnb2k2/3pn1p1/2p2r2/4p3/Rp6/2P5/1PNQP1P1/1NB2BK1 b - - 2 17,+652
8/6k1/4B3/p6R/2K4P/8/5P2/8 b - - 0 46,+1259
6k1/3B4/5P2/8/P5P1/2P5/4Q1K1/8 b - - 4 46,#+3
1r3k2/3p4/8/1p1P2pp/p7/P5P1/5K1P/RN1R4 w - - 1 32,+945
2n1kr2/1rp4p/1p6/4P3/1B1pPp2/6q1/PPPN1RP1/R2Q1K2 w - - 0 22,+1208
rnbqkbnr/1pppppp1/7p/p7/P7/7P/1PPPPPP1/RNBQKBNR w KQkq - 0 4,+40
5k2/8/B1p1p3/p2p1pN1/P6R/8/PrP2qPP/2K4R b - - 2 26,#-1
5br1/5k2/3R2n1/3P4/8/4K3/6P1/7r w - - 1 49,-1066
rnbqkb1r/pp1pn1pp/4p3/1Qp2p2/7P/2P5/PP1PPPP1/RNB1KBNR w KQkq - 0 5,+65
rnb2b1r/Bpk1p1pp/2p4n/5p2/1P3P2/3P4/Pq2PKPP/RN1Q1BNR b - - 0 10,-1094
8/4k3/B7/2r5/8/3K3n/1P1P4/8 w - - 1 45,-431
1r2k1n1/5p2/2b4r/p6p/7p/6q1/8/3K4 w - - 8 36,#-5
4k3/6p1/1n3p2/1pK1p1pR/8/8/4N3/8 w - - 2 40,+534
2k5/r1p1n1p1/1r6/5pP1/8/3n1K2/8/8 w - - 2 34,-6498
r1b1kb1r/p5pp/n1p1p2n/5p2/N7/1p1Q2PP/1P2PP2/2B1KBNR w Kkq - 0 13,+716
r2q3r/2pn3p/pN3k1b/3p4/3P2P1/4P3/PPP2K1P/R2Q1B1R w - - 1 16,+680
3k4/8/2p5/2p5/1P1n1p2/5p2/5P2/2K5 b - - 0 44,-1216
rnbqkb1r/ppppp1pp/5p2/8/3n3P/1P5R/P1P1PPP1/RNBQKBN1 b Qkq - 1 5,-152
2r4r/5RB1/6kn/2n4p/2P3q1/P6P/P2KPPB1/1b4NR b - - 0 21,-2145
rn2kbnr/pp4p1/1qp1b2p/3p4/3P4/2N2P2/PPPQP1BP/R1B1K1NR b KQkq - 3 8,+80
1rb2r1k/1p1p1pb1/1p4n1/1N6/Q1PpN2p/8/P3P1PR/2R1KB2 b - - 1 22,+890
6k1/5n2/p7/3K4/8/8/8/8 w - - 0 44,+50
r7/r1pk1pNp/bp1B3n/3R4/8/3P2bP/P4P1P/3QKBNR b K - 0 24,+966
6nr/4kp1p/8/2b5/3pP3/6BN/N1P3KP/5R2 b - - 0 31,+671
r3kbnr/4p1Q1/2p1qp2/pp1p4/1n2P2p/NP1PB2N/P1P2P1P/R3KB1R b KQ - 5 16,-920
1n2r3/3k4/8/2p4P/1bP2KP1/2p5/4P2R/5B2 b - - 0 38,-1336
3qkbnr/1bp1pp1p/8/3p2p1/1n1NP3/B4P2/3PQ1PP/R2K1BNR w k - 0 13,+1322
rnbqkbnr/1p1p1ppp/2p1p3/p7/P4P2/2P5/1P1PP1PP/RNBQKBNR w KQkq - 0 4,+46
2r3n1/1p3p2/4k1p1/8/P1P1P2p/2NP1P1P/4N1B1/3KR3 w - - 6 30,+1300
rnbq2n1/2ppk3/p5p1/1p6/3P1P2/1P3P1B/P1P5/RN1QK1NR b KQ - 0 11,+905
2k5/8/2p3p1/p3r3/7p/K3P3/1P6/5R2 w - - 2 47,-713
1n6/rp2k1p1/p7/5p2/3K4/1P6/7n/8 w - - 0 34,-2446
8/B2pk3/b7/8/8/2P5/6Kb/8 b - - 7 47,-514
8/8/7k/1PR4P/8/4p3/8/5K2 b - - 1 43,+1855
4knnr/5p2/p3p2p/1p6/1P1P1Pp1/6PP/4K3/B5R1 w - - 0 28,-484
rnbqkbnr/pp1pppp1/8/2p4p/6PP/1P3N2/P1PPPP2/RNBQKB1R b KQkq - 0 4,-353
6r1/8/3b1k1p/p1p1R1p1/6P1/4pP1P/7N/5K2 b - - 0 39,-1464
2r3n1/q7/2kbp3/7p/7P/8/2P5/3K4 b - - 7 38,#-3
1r2k1r1/5p1p/2Q5/pp6/1R2P3/3P2P1/P2K3P/2B4R b - - 0 26,+2538
rn1qk2r/1b1pQ2p/5b1n/ppP3p1/8/P7/RPPKPP1P/1NB2BNR b kq - 0 11,-1595
5b2/4pN2/B1k5/P2p4/7R/3P2p1/3B4/Rn1K4 b - - 3 28,+1441
8/8/8/1P1Nn1p1/1P1p2Pp/6kP/6B1/R2K2R1 w - - 5 43,+2150
r2k2nr/3p3p/p2p4/1p3P2/8/1PNP1b2/1R6/2B1KBb1 b - - 1 25,-1061
8/3P4/7k/7p/2p4P/2N1P3/1p5K/5N2 b - - 0 49,+1768
4k3/7r/b3pn2/8/8/7N/5N2/4K2n w - - 4 44,-948
5b2/6k1/2r1p3/8/4K3/7r/8/8 b - - 19 50,#-2
8/6n1/8/8/3kP2P/6p1/8/1K2R3 b - - 3 49,+107
B1b2kn1/p2p4/8/2n3b1/4pP2/3P1R1r/2P5/1NB1K3 w - - 3 23,+429
1nb3n1/r1pp1k2/p3p1p1/2r5/1P5p/B3PP2/P5BP/1R1K2NR w - - 0 20,+788
1rb3r1/2p5/p3pk2/1Q3p2/4n2q/2P1PNb1/PP4P1/R1BK1B1R w - - 1 24,-190
1n2kbn1/1b2pp2/1Q1p1r1B/2p5/2P4p/r2P4/4KP1P/R4BN1 b - - 2 20,+295
rnbk1b2/5P1n/p1pB2p1/1p5r/5P2/2PP1NP1/P5K1/R3Q1N1 b - - 2 22,+243
8/3k4/3Pp3/8/P1r4p/1P5B/3NP3/R2K2Nb w - - 0 30,+1911
rnbqkbn1/p1ppp1p1/5p1r/1p6/1P6/3P1N1P/P1P1PPP1/RN1QKB1R b KQq - 0 5,-639
2k5/r1p4n/p2p1p2/1p3p1N/3N3P/1P1Pq3/P1P5/R2K1B2 w - - 0 26,-780
4R3/8/n7/1k2P1p1/2p3P1/K7/8/8 b - - 0 44,+517
5n2/1R4p1/8/B1pk2Pn/8/4P3/8/4K3 w - - 0 39,+346
1R4kr/7p/7p/7P/1p6/6Pb/Pb2K3/8 b - - 0 33,-763
8/4n2k/8/2B1P2p/7p/2p4P/2P2P2/3K4 b - - 3 42,+394
3r4/1p2n3/6kp/4n3/rp2P1pP/7R/8/5K2 w - - 1 45,-2374
5r2/7p/1p2pp1p/r6k/2P5/8/3K1P2/8 b - - 1 34,-2128
8/2pk1p2/6pP/1p1p3p/3P1N2/2B4P/n2KN3/5B1R b - - 1 28,+1812
1n2kbB1/2q1p1p1/r1pp4/7p/pP3pb1/3R3P/2PP1P2/2B2KNR b - - 3 20,-980
2b4r/2pp1Q1p/1p1k1p2/3qp3/8/rPP4B/3BPP1P/4K1NR w K - 0 19,+895
rnb3nr/4k1bp/5p2/p1PQ4/2P5/pP2PK1N/P4PP1/3R1Bq1 w - - 0 17,+603
rnbqkb2/p2pp1p1/1pp5/5P2/2Q2P2/N1P5/PP1P3n/R1BK1BN1 b q - 1 12,-189
rq4kr/p5bp/3pb3/4p3/P2P4/4Q2P/4NPP1/R1BK1N1R b - - 1 21,+518
1n2k2r/5ppp/r7/pp1p4/8/2P1P1b1/PP1PNnB1/1bB1K3 w k - 2 19,-1824
4n3/4k3/8/3P4/5P2/7P/5K1R/2N3N1 b - - 4 44,+1001
1nbqkb2/1r1ppp2/1pp5/p6r/P1P2P2/1P2n3/1B1PP1P1/RN1QKBN1 w Q - 3 13,-237
r3k1n1/2pr4/p1n1b3/p2pQ1p1/8/BPP5/4PPP1/1N2KB2 b q - 3 20,-1201
4k3/5p2/8/7P/8/N7/r7/NK6 w - - 3 43,+7
rnb1kb1r/1p1ppppp/p1p2n2/q7/P1P1P3/BP6/3P1PPP/RN1QKBNR b KQkq - 0 5,-124
8/2bnk3/p7/P7/8/3p4/6K1/8 b - - 7 46,#-9
5k2/r3p3/8/1bp3p1/2n5/5K2/3b4/8 w - - 18 48,-6393
rnbqkbnr/pppppppp/8/8/8/N7/PPPPPPPP/R1BQKBNR b KQkq - 1 1,-86
1r2kb2/5pp1/3ppqr1/p5B1/p6P/P3K2b/R7/1N4R1 w - - 2 28,-1691
4B3/8/3k4/8/7P/6K1/6P1/6N1 b - - 0 41,+1183
3R4/8/8/pk2P3/8/1P5R/P7/4K2B w - - 1 32,+6163
rnbqkbnr/ppp1pp1p/8/3p2p1/6P1/2P5/PP1PPP1P/RNBQKBNR w KQkq - 0 3,-6
rn1qkbnr/pp2ppp1/2B5/7p/4p1b1/P1P5/RP1P1PPP/1NBQK2R b Kkq - 0 7,-1413
rn2kbn1/4p1p1/1N5Q/p7/4b3/P1P2P1P/2P5/R3KBNR w KQ - 0 18,+2487
4k1n1/5p2/5p2/1p1p3r/Nb3Rp1/8/2P3K1/8 b - - 0 36,-908
1rb4r/2pp1p1p/8/1p6/1P1Pnk2/3Q3P/6P1/4RK2 w - - 0 27,#+5
r1b1kbn1/3p2p1/1p2p2r/pp6/7P/B1P2P2/P2P1PPq/RN1QKB2 b Qq - 0 14,-968
2k3n1/8/ppp5/4n3/PP2P1P1/4K3/1pb5/5RN1 w - - 0 31,-644
5k2/4N1r1/5n2/2P4p/p6p/5K2/8/8 b - - 2 44,-1753
b5k1/1B5p/4p2B/1p3p1P/p2p1P2/6KN/P2n3P/8 w - - 0 35,+73
8/8/8/p4P2/P3k3/7K/2p5/8 b - - 1 50,-1838
4k1r1/5r1n/3p2p1/p2Pb2p/P6P/5N2/4b1PR/4KB2 b - - 3 30,-1563
7r/4p3/8/p1P2p2/P5k1/7p/7K/8 w - - 1 48,-1862
r1b4r/1p1p1kp1/2P5/8/P7/1p1P1K1P/2q2PB1/8 w - - 1 27,-2807
rnbqkb1r/pppppppp/7n/8/5P2/8/PPPPP1PP/RNBQKBNR w KQkq - 1 2,+5
r2qkbnr/pp4pp/3p4/2p2b2/1P3P1P/2N3P1/P2PN3/R1B1KB1R b KQkq - 1 10,-1015
8/1p2n3/1P4k1/8/8/2pK4/8/8 b - - 3 49,-1288
2b2k2/3pn1p1/8/8/3pP2N/4P1P1/r1N5/R3K2R b Q - 0 25,+329
3qkbr1/r1pnpp1p/ppBp2p1/4P3/8/N6P/PPPPKPP1/R1B3NR w - - 1 12,-345
8/8/B2kN3/6Q1/P7/1P1P2RP/3P4/4K3 b - - 2 43,#+3
8/5k2/8/1PP2p2/3P4/1P3P2/r7/1N2K2R w - - 0 31,+936
1n3r2/3b3N/7P/p1k5/R7/3P3N/P1P1K3/1R6 b - - 8 35,+1097
r1bqkb1r/n1pp1p1p/5B1n/pP2p3/1P3p2/P7/3PPKPP/RN1Q1BNR w kq - 0 9,+701
5b1r/p1N2ppp/5k2/8/8/3n1N1B/PPP1PK2/R1Q5 w - - 1 19,#+5
5k2/8/B7/2n1R2p/1p6/1P6/N3K1PP/8 w - - 0 30,+5962
rn4nr/1p6/p2k3B/2R4p/8/2P4b/5PPP/4K2R w - - 1 27,-730
3B2n1/8/R3p3/4k3/6P1/2P5/3N2K1/6R1 b - - 4 39,+6484
rn1q1b2/1p2nkp1/7r/p1pPpb2/P3P3/R2P3P/1P1N1PP1/2B1KBNR w K - 2 11,-584
rnb1kbn1/pp2pp2/2p5/3p2p1/2P1P3/qP5P/R2P1P1R/1NBQKB2 w q - 0 11,+1243
rnbqk3/1ppp3r/6pp/p7/Pb6/R1P2NPP/1P1P1P2/1NB1K1R1 b q - 3 13,-1492
r1b1kn1b/2p1qp2/1p1p1p2/p2P4/4p3/1P2K3/P1P1NPPR/RN1Q1B2 b q - 1 16,+187
rQb1kb1r/4p3/1p1q4/p1p5/P1P5/3p1N1R/1P1PPPP1/RNBK1B2 w - - 3 16,+2125
rnbk2nr/ppp2Q1p/4p3/3P3R/8/3PP1P1/P5P1/R3KBN1 b Q - 0 16,+1315
6r1/Q7/5k2/p4p2/P1P5/N7/4KPB1/R7 w - - 3 29,+2111
8/8/3pkb2/pbp4r/P6p/NP6/7P/RBB1K3 b - - 7 39,-41
5k2/7p/5r2/8/6pP/N5P1/4R1K1/8 b - - 2 45,+616
rnbqkbnr/1p3p1p/p5p1/2ppp3/P7/6PN/RPPPPP1P/1NBQKBR1 w kq - 0 6,-229
r4bnq/8/1p3kp1/8/4pPBr/3PP3/5K2/3Q2N1 w - - 0 26,-864
rn3b1r/2q1k2P/p1p1p3/5P2/8/N2P1P2/PP2K3/R5N1 w - - 1 23,-1450
5b2/4p1p1/8/2P3kN/1PN3n1/7R/2q5/6K1 w - - 1 26,-936
rnbqkbnr/1ppp4/4pppp/8/PN3P1P/1P1P4/2P1PKP1/R1B2BNR w k - 1 12,-1272
2r2k2/p3pB2/1p6/8/1K3PP1/1b5P/P2B4/RN5R b - - 1 29,+942
r7/1p6/3k2p1/5p1p/PpbP1P2/1P6/3K1P2/1R3N2 b - - 0 31,-281
r3k2r/1pp1p2p/2n5/p7/P1p3bP/4BP2/1b2P3/RN1K1BN1 b - - 3 15,-1229
8/p5p1/3bBk2/1r3P2/4R3/8/2PPK3/2B3r1 b - - 3 31,-588
rnbqk3/pp1p4/2p1pp2/3nP3/P7/r2B1NP1/2PK1P1P/R1B4R b q - 4 15,-1618
4rb2/p1K1p2p/P4p2/8/5k2/8/8/r6n b - - 3 38,-6727
rnbqkbnr/ppp1pppp/8/8/2p5/P7/1P1PPPPP/RNBQKBNR w KQkq - 0 3,+1
3rk2r/p4pbp/np2b3/3p1p1R/P2P3N/1P1Q2B1/4P3/RN2KB2 b Qk - 4 21,+1449
6k1/8/8/1P3P1N/4K2P/8/8/nN6 b - - 0 48,+1028
rnb2bnr/2pk2p1/2pqp1B1/p7/8/P4NP1/1P1PPP2/RNB1K2R w KQ - 1 14,+39
r7/3qb3/5p1p/p1pk4/8/3K2N1/P2P4/RN6 b - - 1 26,-1203
r1bq4/2p1Q3/p1kp1npr/p6p/P2P4/2P2N2/1P1K1PPP/RNB4R w - - 1 13,+1912
r1b3n1/ppB2k2/2n1p3/4b3/P3P1P1/3P4/1PP1N2P/R3QBKR w - - 1 19,+1767
1n3k2/3p1p2/8/rp2p3/2R5/R6P/1P1K1P2/5N2 w - - 0 31,+1101
q3kbnr/r1p1p2p/2P2p2/1p4p1/5PP1/5P1P/PPNP4/R1B1KBNR w KQk - 1 12,-242
1n1k2n1/2pb3r/2p1pppp/1p6/1qP2P2/5KPP/4P3/3R1BNR b - - 0 17,-1179
4kB2/p7/6Pn/8/P1p2P2/7K/3p4/8 b - - 1 45,-1337
B3q2r/2Q3pp/1p2k3/4p3/1p4P1/1P3N1P/2P1PP2/R1B1KN1R w KQ - 0 16,#+3
1n5r/Q6p/4k3/5p2/p1p1p3/N7/PP5P/RN2KR2 b - - 1 26,+1826
7r/2k1n3/8/4pppp/2B5/5P1N/2NB1P1P/1K1Q3R b - - 9 33,+1775
3qkb2/r1pbp1p1/3p4/p4p1R/8/1P1r4/4KP2/R1B2B2 w - - 0 25,-1101
rnq1kbnr/ppp1ppp1/8/3P3p/8/6PB/PP1PPP1P/RNBQK1R1 b Qkq - 2 6,-432
5k2/3n4/4pB2/2Pp2PR/8/8/8/4K3 b - - 0 33,+1062
1nq1k1r1/2pp4/4n2B/6r1/P2P4/1P6/2PN3P/R2Q1K2 w - - 1 22,-117
1nn1kb1r/5p1p/8/6QP/1pb1P3/8/r7/R3KN2 b Q - 0 25,-1462
